group,set,condition,context-type,context,sentence,question,FALSE,CORRECT,FIRST,SECOND
A,1,a,יחד,המדריכות והתיירת נסעו אתמול ביחד לכפר היפה,הבוקר התיירת שכרה את המדריכה שהמקומיים מהכפר הסמוך התרגזו עליה בעקבות אי הבנה,?על מי המקומיים התרגזו,התיירת,המדריכה,התיירת,המדריכה
A,2,c,נפרד,המאמנת הצטלמה בקצה האולם והמתעמלות התחממו לפני התחרות,בתחילת התחרות המאמנת הרחיקה את המתעמלת שהאוהדים הקולניים והמאוכזבים זלזלו בה בגלל ההפסדים האחרונים,?במי האוהדים זלזלו,המאמנת,המתעמלת,המאמנת,המתעמלת
A,3,d,רק פילר,המפיקות חיכו מחוץ לסטודיו עד שהוא יתפנה לגמרי,ביציאה מהסטודיו הסוכנת התלחשה עם המפיקה שהנגנים המוכשרים והידידותיים התלהבו ממנה בעקבות הצלחת האלבום,?ממי הנגנים התלהבו,הסוכנת,המפיקה,הסוכנת,המפיקה
A,4,b,כללי,חדר החקירות הישן והמפחיד ממוקם בסוף המסדרון,בכניסה לחדר השוטרת הסתירה את החשודה שהפושעים מהעולם התחתון איימו עליה אחרי המעצר המתוקשר,?על מי הפושעים איימו,השוטרת,החשודה,השוטרת,החשודה
A,5,a,יחד,הסוהרות והמפקחת נפגשו אתמול בערב במשרד,הבוקר המפקחת תחקרה את הסוהרת שהאסירים האלימים ביותר התעללו בה בתחילת התפקיד הרשמי,?במי האסירים התעוללו,המפקחת,הסוהרת,המפקחת,הסוהרת
A,6,c,נפרד,הזמרת התראיינה בזמן ההכנות והכוכבות התאפרו,אחר כך הזמרת דיברה עם הכוכבת שהמעריצים הנאמנים והמסורים דאגו לה בזמן ההיעדרות הממושכת,?למי המעריצים דאגו,הזמרת,הכוכבת,הזמרת,הכוכבת
A,7,d,רק פילר,החובשות ניקו את המוקד כחלק מההכנות למשמרת,קצת אחר כך הרופאה תשאלה את החובשת שהפצועים חסרי האונים נזקקו לה בעקבות תאונת הדרכים,?למי הפצועים נזקקו,הרופאה,החובשת,הרופאה,החובשת
A,8,a,יחד,היועצות והנשיאה צפו בהרצאה ביחד היום בכנס,אחרי הכנס הנשיאה זימנה את היועצת שהלוביסטים מטעם הארגון שילמו לה כדי לקדם את החוק בנוגע לאיכות הסביבה,?למי הלוביסטים שילמו,הנשיאה,היועצת,הנשיאה,היועצת
A,9,c,נפרד,הבמאית חשבה על הסצינה הבאה בזמן שהשחקניות בילו על סט הצילומים,בתחילת הצילומים הבמאית הסריטה את השחקנית שהניצבים הצעירים והנרגשים התבוננו בה בהתעניינות לזמן רב,?במי הניצבים התבוננו,הבמאית,השחקנית,הבמאית,השחקנית
A,10,d,רק פילר,המבריחות הסתירו את הרכב שהכיל סחורה לא חוקית,לקראת החקירה הבלשית איתרה את המבריחה שהסייענים הפיקחים והזריזים עזרו לה תמורת תשלום גבוה,?למי הסייענים עזרו,הבלשית,המבריחה,הבלשית,המבריחה
